# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
#
# THIS IS A REFERENCE MEASUREMENT, NOT RUN OUTPUT. It is the PRIMARY tracked
# dataset: `python3 -m tt_sim.perf.tensix_bench_sweep` with no arguments reads
# this file, so the rung-3 comparison reproduces with no hardware. Run output
# from perfbench/tensixbench lands in perfbench/*/src/ and stays gitignored; a
# curated reference belongs here, next to the harness that reads it.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.9.0
# flags: --blocks 32 --iters 64 --dvalid-once --fidelities LoFi,HiFi2,HiFi4
# slow_dispatch=1 dvalid_probes=on
# valid=yes rows=504 phases=A,B
# collected=2026-08-04
# host=unrecorded
#
# THIS IS EXPERIMENT X1 of docs/plans/matrix-unit-thread-contention.md, and it
# is the de-confounded configuration. `dvalid_setup=once` means exactly one
# legal SETDVALID executes before the MATH probes regardless of how many TRISCs
# are issuing, with a barrier after it. The run it replaced issued one per
# active thread, so the third one handed the Matrix Unit a bank it already
# owned -- the instruction's own precondition violated, and a state the ISA
# docs classify as NonContractualBehavior. That earlier configuration is kept,
# deliberately, as tensixbench-blackhole-dvalid-per-thread.csv in this
# directory: it is the control that demonstrates the artefact, and it is the
# only reason to keep it.
#
# WHAT CHANGED BETWEEN THE TWO, and it is not only the multi-thread columns:
# MVMUL/ELWADD/ELWMUL read 5.99/11.97/18.04 cycles per instruction at one, two
# and three threads here (a clean 3.0x, ~6.0 cycles aggregate throughout),
# against 1.00/6.08/12.10 in the control. The control's *single-thread* 0.998
# was an artefact too, so no column of the earlier run survives for those three
# probes.
#
# ONE RUN, ON ONE CARD, by one operator; the host machine name was not captured
# in what came back with the file. Every conclusion drawn from it inherits
# that. The firmware bundle and KMD versions are carried over from the same
# operator's 2026-08-04 phase A run on the same card; they were not re-reported
# with this file.
#
# PHASE B IS HERE, and it is the first fidelity measurement off silicon: a real
# matmul_tiles inner loop at LoFi, HiFi2 and HiFi4, 24 rows at the end of the
# file. Only the *differences* between fidelities are interpretable; see the
# sweep's fidelity section and docs/plans/tensix-cost-benchmark.md.
#
# The companion tt-sim run of the same binary is deliberately NOT tracked
# alongside it: it is regenerable in minutes from perfbench/run.sh and would
# freeze a claim about one revision of the simulator. Reproduce it and pass it
# with --reference.
#
# arch=blackhole magic=0x7B10CE02 unroll=64 probe_mask=0xFFFFF dvalid_setup=once mm_block=8 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,76
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,96,64,204
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,1,NOP,NONE,1,1,32,64,2137
A,t1,1,NOP,NONE,1,1,64,64,4235
A,t1,1,NOP,NONE,1,1,96,64,6347
A,t1,1,NOP,NONE,1,1,128,64,8459
A,t1,2,DMANOP,TDMA,1,1,32,64,2138
A,t1,2,DMANOP,TDMA,1,1,64,64,4235
A,t1,2,DMANOP,TDMA,1,1,96,64,6347
A,t1,2,DMANOP,TDMA,1,1,128,64,8459
A,t1,3,SFPNOP,SFPU,1,1,32,64,2138
A,t1,3,SFPNOP,SFPU,1,1,64,64,4235
A,t1,3,SFPNOP,SFPU,1,1,96,64,6347
A,t1,3,SFPNOP,SFPU,1,1,128,64,8459
A,t1,4,SFPMOV,SFPU,1,1,32,64,2138
A,t1,4,SFPMOV,SFPU,1,1,64,64,4235
A,t1,4,SFPMOV,SFPU,1,1,96,64,6347
A,t1,4,SFPMOV,SFPU,1,1,128,64,8459
A,t1,5,SFPADD,SFPU,1,1,32,64,2137
A,t1,5,SFPADD,SFPU,1,1,64,64,4235
A,t1,5,SFPADD,SFPU,1,1,96,64,6347
A,t1,5,SFPADD,SFPU,1,1,128,64,8459
A,t1,6,SFPMUL,SFPU,1,1,32,64,2138
A,t1,6,SFPMUL,SFPU,1,1,64,64,4235
A,t1,6,SFPMUL,SFPU,1,1,96,64,6347
A,t1,6,SFPMUL,SFPU,1,1,128,64,8459
A,t1,7,SFPMAD,SFPU,1,1,32,64,2139
A,t1,7,SFPMAD,SFPU,1,1,64,64,4235
A,t1,7,SFPMAD,SFPU,1,1,96,64,6347
A,t1,7,SFPMAD,SFPU,1,1,128,64,8459
A,t1,8,SFPABS,SFPU,1,1,32,64,2138
A,t1,8,SFPABS,SFPU,1,1,64,64,4235
A,t1,8,SFPABS,SFPU,1,1,96,64,6347
A,t1,8,SFPABS,SFPU,1,1,128,64,8459
A,t1,9,SETDMAREG,THCON,1,1,32,64,2138
A,t1,9,SETDMAREG,THCON,1,1,64,64,4235
A,t1,9,SETDMAREG,THCON,1,1,96,64,6347
A,t1,9,SETDMAREG,THCON,1,1,128,64,8459
A,t1,10,ADDDMAREG,THCON,1,1,32,64,6058
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12227
A,t1,10,ADDDMAREG,THCON,1,1,96,64,18375
