# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=blackhole magic=0x7B10CE04 unroll=64 probe_mask=0x3F04201 dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,76
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,96,64,204
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,9,SETDMAREG,THCON,1,1,32,64,2137
A,t1,9,SETDMAREG,THCON,1,1,64,64,4235
A,t1,9,SETDMAREG,THCON,1,1,96,64,6347
A,t1,9,SETDMAREG,THCON,1,1,128,64,8459
A,t1,14,RDCFG,CFG,1,1,32,64,2138
A,t1,14,RDCFG,CFG,1,1,64,64,4235
A,t1,14,RDCFG,CFG,1,1,96,64,6347
A,t1,14,RDCFG,CFG,1,1,128,64,8459
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,32,64,6115
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,64,64,12254
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,96,64,18398
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,128,64,24542
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,32,64,6113
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,64,64,12254
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,96,64,18398
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,128,64,24542
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,32,64,6114
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,64,64,12254
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,96,64,18398
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,128,64,24542
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,32,64,6114
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,64,64,12254
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,96,64,18398
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,128,64,24542
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,32,64,6113
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,64,64,12254
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,96,64,18398
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,128,64,24542
A,t1,25,RMWCIB0,CFG,1,1,32,64,2137
A,t1,25,RMWCIB0,CFG,1,1,64,64,4235
A,t1,25,RMWCIB0,CFG,1,1,96,64,6347
A,t1,25,RMWCIB0,CFG,1,1,128,64,8459
